Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     59.91     0.00      150     0.01     0.09  position_knob
  0.00     59.91     0.00      130     0.02     0.66  lv_theme_apply
  0.00     59.91     0.00       95     0.02     0.02  _lv_ll_is_empty
  0.00     59.91     0.00       34     0.06     0.06  lv_event_set_cover_res
  0.00     59.92     0.00       16     0.13     0.63  children_repos
  0.00     59.92     0.00                             lv_draw_mask_angle
  0.00     59.92     0.00                             lv_obj_get_y
  0.00     59.92     0.00     1642     0.00     0.00  lv_label_get_text_selection_end
  0.00     59.92     0.00     1594     0.00     0.01  lv_obj_is_layout_positioned
  0.00     59.93     0.00      329     0.00     0.00  lv_bezier3
  0.00     59.93     0.00        1     1.50    61.80  create_ctrl_box
  0.00     59.93     0.00                             _lv_area_is_out
  0.00     59.93     0.00                             lv_color_hsv_to_rgb
  0.00     59.93     0.00                             lv_obj_scroll_to_view_recursive
  0.00     59.93     0.00     3951     0.00     0.00  lv_timer_resume
  0.00     59.93     0.00     2794     0.00     0.67  lv_obj_update_layout
  0.00     59.93     0.00     2406     0.00     0.00  _out_buffer
  0.00     59.94     0.00     1370     0.00     0.01  lv_obj_scroll_to_y
  0.00     59.94     0.00      889     0.00     0.00  suggest_state
  0.00     59.94     0.00      882     0.00     0.41  lv_label_refr_text
  0.00     59.94     0.00      774     0.00     0.00  _out_rev
  0.00     59.94     0.00      763     0.00     0.00  lv_map
  0.00     59.94     0.00      720     0.00     0.00  lv_disp_flush_ready
  0.00     59.94     0.00      677     0.00     0.00  lv_clamp_width
  0.00     59.94     0.00      671     0.00     0.00  lv_disp_get_scr_prev
  0.00     59.94     0.00      363     0.00     1.27  anim_timer
  0.00     59.94     0.00      268     0.00     0.04  start_anim_cb
  0.00     59.95     0.00      256     0.00     0.00  lv_obj_get_scroll_snap_x
  0.00     59.95     0.00      256     0.00     0.00  lv_obj_get_scroll_snap_y
  0.00     59.95     0.00      250     0.00     0.96  lv_obj_readjust_scroll
  0.00     59.95     0.00      196     0.01     0.01  trans_del
  0.00     59.95     0.00      161     0.01     0.12  lv_obj_remove_style
  0.00     59.95     0.00      153     0.01     0.01  lv_timer_get_idle
  0.00     59.95     0.00      150     0.01     0.01  count_tracks
  0.00     59.95     0.00      150     0.01     0.01  lv_area_get_width
  0.00     59.95     0.00      143     0.01     0.01  node_set_next
  0.00     59.95     0.00      130     0.01     0.49  apply_theme
  0.00     59.96     0.00      130     0.01     0.01  lv_gradient_cleanup
  0.00     59.96     0.00      130     0.01     0.02  lv_obj_class_create_obj
  0.00     59.96     0.00      130     0.01     0.01  next_in_cache
  0.00     59.96     0.00      124     0.01     0.46  lv_label_set_text
  0.00     59.96     0.00      117     0.01     0.05  lv_obj_clear_flag
  0.00     59.96     0.00       95     0.01     0.39  lv_anim_start
  0.00     59.96     0.00       80     0.01     1.02  _img_set_zoom_anim_cb
  0.00     59.96     0.00       76     0.01     0.05  lv_bar_anim
  0.00     59.96     0.00       75     0.01     2.93  grid_update
  0.00     59.96     0.00       67     0.01     0.01  get_next_item
  0.00     59.97     0.00       62     0.02     0.54  lv_obj_set_x
  0.00     59.97     0.00       32     0.03     0.62  lv_obj_set_state
  0.00     59.97     0.00       16     0.06     3.12  flex_update
  0.00     59.97     0.00       10     0.10     0.44  lv_obj_scroll_by
  0.00     59.97     0.00        6     0.17     0.59  lv_obj_destructor
  0.00     59.97     0.00        3     0.33     1.66  _lv_demo_music_resume
  0.00     59.97     0.00        3     0.33     0.37  lv_bar_set_range
